,dates,DayType,ex,pickups,tod,length
1,10/10/19,TT,1,94,16:30,1
2,10/11/19,FSS,1,110,11:30,1
3,10/12/19,FSS,0,93,NA,NA
4,10/13/19,FSS,1,116,11:00,0.5
5,10/14/19,MW,0,91,NA,NA
6,10/15/19,TT,1,113,16:30,1
7,10/16/19,MW,1,107,18:15,0.75
8,10/22/19,TT,0,90,NA,NA
9,10/23/19,MW,0,78,NA,NA
10,10/24/19,TT,0,73,NA,NA
11,10/25/19,FSS,1,108,13:30,1
12,10/26/19,FSS,0,108,NA,NA
13,10/27/19,FSS,1,88,13:00,1
14,10/28/19,MW,1,131,16:30,1
15,10/29/19,TT,1,124,16:30,1
16,10/30/19,MW,1,NA,17:15,1
17,10/31/19,TT,0,99,NA,NA
18,11/1/19,FSS,0,129,NA,NA
19,11/2/19,FSS,0,88,NA,NA
20,11/3/19,FSS,0,103,NA,NA
21,11/4/19,MW,0,85,NA,NA
22,11/5/19,TT,1,99,16:30,0.83
23,11/6/19,MW,1,107,17:40,0.67
24,11/7/19,TT,1,102,16:50,1
25,11/8/19,FSS,0,102,NA,NA
26,11/9/19,FSS,1,110,14:40,0.58
27,11/10/19,FSS,1,97,15:40,0.5
28,11/11/19,MW,1,93,17:20,1
29,11/12/19,TT,0,128,NA,NA
30,11/13/19,MW,0,NA,NA,NA
31,11/14/19,TT,0,110,NA,NA
32,11/15/19,FSS,1,66,10:30,1
33,11/16/19,FSS,0,83,NA,NA
34,11/17/19,FSS,1,104,12:10,0.58
35,11/18/19,MW,0,95,NA,NA
36,11/19/19,TT,1,88,16:30,0.67
37,11/20/19,MW,0,84,NA,NA
38,11/21/19,TT,0,77,NA,NA
39,11/22/19,FSS,1,95,13:15,1
40,11/23/19,FSS,0,69,NA,NA
41,11/24/19,FSS,0,102,NA,NA
42,11/25/19,MW,1,NA,13:00,1